layer0_smarts,layer1_smarts,layer2_smarts,layer3_smarts,layer4_smarts
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=!@[S,O,NH2,NH,N+,N+0H0,C,CH3,CH2,n+0,s,N+0,o,CH,CH0,F,c,Cl]):[#6]([#1]):[#6](!=!@[N+0H0]):[#6](!=@[N+0]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=!@[CH3,CH2,n+0,s,O,N+0,o,S,c,Cl,F,N+0H0,NH2,NH,N+,C,CH,CH0]):[#6]([#1]):[#6](:[c]):[#6](!=!:[n+0]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](:[s,N+0,o,c,S,n+0,O,Cl,F,N+0H0,NH2,NH,N+,C,CH,CH0,CH3,CH2]):[#6]([#1]):[#6](!=!:[c]):[#6](!=@[N+0]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=@[O,NH2,NH,N+,C,CH,CH0,S,n+0,CH3,CH2,Cl,s,c,N+0,o,F,N+0H0]):[#6]([#1]):[#6](!=!:[n+0]):[#6](!=!@[S,c]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](:[c,o,S,F,O,NH2,NH,N+,N+0H0,CH3,CH2,n+0,s,C,N+0,CH,CH0,Cl]):[#6]([#1]):[#6](!=!@[N+0H0]):[#6](-[F]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=!:[c,Cl,S,O,NH2,NH,N+,C,CH,CH0,n+0,CH3,CH2,s,N+0,o,F,N+0H0]):[#6]([#1]):[#6](-[F]):[#6](-[F]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=@[S,NH2,NH,N+,N+0,CH,CH0,F,c,n+0,CH3,CH2,Cl,s,o,O,N+0H0,C]):[#6]([#1]):[#6](!=!:[n+0]):[#6](:[n+0,CH3,CH2,c]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](:[s,N+0,o,S,N+0H0,O,c,Cl,F,NH2,NH,N+,C,CH,CH0,n+0,CH3,CH2]):[#6]([#1]):[#6](!=@[S]):[#6](:[s]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=@[S,c,n+0,CH3,CH2,Cl,s,o,F,N+0H0,O,NH2,NH,N+,C,N+0,CH,CH0]):[#6]([#1]):[#6](!=!:[n+0]):[#6](!=@[C]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=!@[N+0H0,O,C,Cl,c,NH2,NH,N+,N+0,CH,CH0,S,n+0,CH3,CH2,s,o,F]):[#6]([#1]):[#6](!=@[O]):[#6](!=!@[CH,CH0]):1"
